periodo,uf,n_amostral,n_amostral_cp,n_amostral_nano,total_cp_estimado,total_nano_estimado,ic95_low,ic95_high,cv_pct,share_nano_em_cp,mei_ativos_total,taxa_formalizacao_aprox,informais_aprox,observacao_mei_maior_nano
2025T1,SP,37838,4923,3388,5927284.297570471,3948030.04845124,3743841.2056814055,4152218.891221075,2.64,0.6661,3316536,0.84,631494.0,False
2025T1,MG,35171,4374,3454,2574730.7709541,1981411.63496282,1874626.3480948252,2088196.9218308148,2.75,0.7696,1347142,0.6799,634270.0,False
2025T1,RJ,33720,4277,3320,2187750.2966466397,1666653.6747980802,1585413.0012388497,1747894.3483573108,2.49,0.7618,1109488,0.6657,557166.0,False
2025T1,BA,22341,2655,2458,1699096.74293136,1546021.6460415,1446972.9422067308,1645070.349876269,3.27,0.9099,562996,0.3642,983026.0,False
2025T1,PA,16862,2311,2121,1094873.1070086001,1005139.27889605,939540.2886708416,1070738.2691212583,3.33,0.918,203483,0.2024,801656.0,False
2025T1,RS,25151,3585,2493,1397392.65383131,973675.43418042,915245.1489640612,1032105.7193967788,3.06,0.6968,751146,0.7715,222529.0,False
2025T1,PR,26017,3349,2313,1425117.87812776,948677.56339936,882492.3572357604,1014862.7695629597,3.56,0.6657,821920,0.8664,126758.0,False
2025T1,CE,22246,2329,2153,980915.3977380099,902126.28151645,849707.5743451054,954544.9886877945,2.96,0.9197,319680,0.3544,582446.0,False
2025T1,PE,19126,1790,1582,936741.0480789599,818743.67106811,761498.4859303145,875988.8562059056,3.57,0.874,334807,0.4089,483937.0,False
2025T1,MA,30881,3756,3547,839452.53279158,779073.17351848,737131.4523299979,821014.8947069622,2.75,0.9281,124528,0.1598,654545.0,False
2025T1,SC,30030,4206,2601,1058988.53932834,626922.7777456699,589692.1796903809,664153.375800959,3.03,0.592,636556,1.0,0.0,True
2025T1,GO,15808,1907,1376,843301.2199870901,601080.38857917,556267.223191436,645893.553966904,3.8,0.7128,452109,0.7522,148971.0,False
2025T1,AM,13593,1972,1841,554866.7995164299,508245.53104925,470494.9395274785,545996.1225710214,3.79,0.916,103712,0.2041,404534.0,False
2025T1,PB,12861,1274,1184,403409.74486304,371541.70429406,339195.54418150015,403887.86440661986,4.44,0.921,158545,0.4267,212997.0,False
2025T1,ES,16771,2097,1573,492676.56629999995,364342.37938912,340429.3781048857,388255.38067335426,3.35,0.7395,290414,0.7971,73928.0,False
2025T1,PI,11241,1165,1085,370116.9656161,336761.60112326,301955.01313443755,371568.1891120824,5.27,0.9099,87330,0.2593,249432.0,False
2025T1,MT,12539,1637,1165,464932.86602522,317294.70556087,278746.76533063425,355842.64579110575,6.2,0.6825,225444,0.7105,91851.0,False
2025T1,RN,9398,963,885,339970.72734058,309720.59378184,277243.77221639454,342197.41534728545,5.35,0.911,136497,0.4407,173224.0,False
2025T1,AL,19541,1599,1452,278021.59473412,250445.19333782,229793.0967943635,271097.2898812765,4.21,0.9008,107918,0.4309,142527.0,False
2025T1,RO,7536,1366,1074,285857.4168937,222907.140618,198962.67232116061,246851.6089148394,5.48,0.7798,70105,0.3145,152802.0,False
2025T1,SE,8787,869,801,229912.32202351998,205867.70617761998,185381.1375841215,226354.27477111848,5.08,0.8954,74731,0.363,131137.0,False
2025T1,MS,10076,1105,778,293499.63050902996,195667.33588274,176096.00992495305,215238.66184052697,5.1,0.6667,159115,0.8132,36552.0,False
2025T1,DF,8543,833,589,285650.22964503,194030.95679484,173221.4338484867,214840.4797411933,5.47,0.6793,182732,0.9418,11299.0,False
2025T1,TO,7226,801,670,154832.86118089,125217.76069471,112709.27378820728,137726.24760121273,5.1,0.8087,75160,0.6002,50058.0,False
2025T1,AP,4314,537,478,97847.52402124999,87659.66794478,72752.48127905052,102566.85461050947,8.68,0.8959,15819,0.1805,71841.0,False
2025T1,AC,9068,756,677,71345.9193032,63642.41025198,57184.991071955796,70099.8294320042,5.18,0.892,18704,0.2939,44938.0,False
2025T1,RR,5682,609,534,63788.129525879995,54968.256752509995,47397.44265560303,62539.07084941696,7.03,0.8617,19695,0.3583,35273.0,False
2025T2,SP,37995,5036,3347,6026906.19540712,3907209.01072489,3704373.2015265804,4110044.8199231997,2.65,0.6483,3461459,0.8859,445750.0,False
2025T2,MG,35449,4577,3582,2657421.6973161,2009494.7694824003,1901424.5638302227,2117564.975134578,2.74,0.7562,1396591,0.695,612904.0,False
2025T2,RJ,34073,4313,3301,2246181.26056716,1685040.1431676701,1487658.002568169,1882422.2837671712,5.98,0.7502,1160681,0.6888,524359.0,False
2025T2,BA,22499,2790,2549,1790256.08909548,1595415.48755331,1495630.6425102307,1695200.3325963896,3.19,0.8912,585974,0.3673,1009441.0,False
2025T2,PA,17124,2447,2230,1096091.90808191,1000516.51689372,937784.86986858,1063248.16391886,3.2,0.9128,215522,0.2154,784995.0,False
2025T2,PR,26048,3457,2388,1484208.40624266,992135.17010838,921406.1491149602,1062864.1911017997,3.64,0.6685,855464,0.8622,136671.0,False
2025T2,CE,23130,2429,2240,1005307.0288374501,920342.33126655,865900.2999581284,974784.3625749716,3.02,0.9155,331343,0.36,588999.0,False
2025T2,RS,25033,3551,2397,1380030.1873038798,919936.77446082,867710.173086988,972163.375834652,2.9,0.6666,780111,0.848,139826.0,False
2025T2,PE,19098,1731,1526,924425.83369381,806216.83270085,751016.8491168485,861416.8162848514,3.49,0.8721,349991,0.4341,456226.0,False
2025T2,MA,31021,3732,3548,830887.8016621801,775328.62705842,736187.9575357848,814469.2965810552,2.58,0.9331,130250,0.168,645079.0,False
2025T2,GO,15742,1961,1411,870573.61469255,622293.67517465,575617.58386819,668969.7664811101,3.83,0.7148,474200,0.762,148094.0,False
2025T2,SC,29962,4137,2548,1045843.0540636801,619135.18331739,582976.8608929144,655293.5057418657,2.98,0.592,666191,1.0,0.0,True
2025T2,AM,13745,2033,1896,556927.34263976,511467.24283258,475356.9271139768,547577.5585511832,3.6,0.9184,111603,0.2182,399864.0,False
2025T2,ES,17057,2175,1618,497265.38987015,367757.02873456,342334.945632849,393179.111836271,3.53,0.7396,301525,0.8199,66232.0,False
2025T2,PB,12953,1195,1084,384637.94766777003,346278.65554997,316367.31962619367,376189.9914737463,4.41,0.9003,164435,0.4749,181844.0,False
2025T2,PI,11415,1184,1115,364355.23627950996,340726.0843794,308944.0060964883,372508.16266231175,4.76,0.9351,91217,0.2677,249509.0,False
2025T2,RN,9409,989,891,366774.43625855003,326414.74685576,288722.2659859629,364107.2277255571,5.89,0.89,142095,0.4353,184320.0,False
2025T2,MT,12465,1657,1145,456474.75413991,302515.89963532,268620.5875447335,336411.2117259065,5.72,0.6627,237233,0.7842,65283.0,False
2025T2,AL,19794,1728,1569,292880.62546418,263279.63185759,241701.8109045261,284857.4528106539,4.18,0.8989,112498,0.4273,150782.0,False
2025T2,RO,7446,1317,1045,283098.23525235,219681.44055654,194548.08742108798,244814.79369199203,5.84,0.776,73252,0.3334,146429.0,False
