periodo,uf,dimensao,valor,n_amostral,total_expandido,share_pct
2025T1,AC,sexo,feminino,174,16491.61935906,25.91
2025T1,AC,sexo,masculino,503,47150.79089292,74.09
2025T1,AL,sexo,feminino,446,80683.85993669,32.22
2025T1,AL,sexo,masculino,1006,169761.33340113,67.78
2025T1,AM,sexo,feminino,500,162902.94565602,32.05
2025T1,AM,sexo,masculino,1341,345342.58539323,67.95
2025T1,AP,sexo,feminino,143,25335.75642682,28.9
2025T1,AP,sexo,masculino,335,62323.91151796,71.1
2025T1,BA,sexo,feminino,818,545426.141566,35.28
2025T1,BA,sexo,masculino,1640,1000595.5044755,64.72
2025T1,CE,sexo,feminino,749,318488.55080199,35.3
2025T1,CE,sexo,masculino,1404,583637.73071446,64.7
2025T1,DF,sexo,feminino,237,75945.73319083,39.14
2025T1,DF,sexo,masculino,352,118085.22360401,60.86
2025T1,ES,sexo,feminino,567,138460.9053125,38.0
2025T1,ES,sexo,masculino,1006,225881.47407662,62.0
2025T1,GO,sexo,feminino,490,222024.67998455,36.94
2025T1,GO,sexo,masculino,886,379055.70859462,63.06
2025T1,MA,sexo,feminino,1075,251765.02581824,32.32
2025T1,MA,sexo,masculino,2472,527308.14770024,67.68
2025T1,MG,sexo,feminino,1054,656875.76743294,33.15
2025T1,MG,sexo,masculino,2400,1324535.86752988,66.85
2025T1,MS,sexo,feminino,281,69293.30027669,35.41
2025T1,MS,sexo,masculino,497,126374.03560605,64.59
2025T1,MT,sexo,feminino,375,102373.79862062,32.26
2025T1,MT,sexo,masculino,790,214920.90694025,67.74
2025T1,PA,sexo,feminino,658,329093.23747429,32.74
2025T1,PA,sexo,masculino,1463,676046.04142176,67.26
2025T1,PB,sexo,feminino,415,134066.30279344,36.08
2025T1,PB,sexo,masculino,769,237475.40150062,63.92
2025T1,PE,sexo,feminino,525,279002.01710849,34.08
2025T1,PE,sexo,masculino,1057,539741.65395962,65.92
2025T1,PI,sexo,feminino,377,120721.15169369,35.85
2025T1,PI,sexo,masculino,708,216040.44942957,64.15
2025T1,PR,sexo,feminino,823,342049.96492681,36.06
2025T1,PR,sexo,masculino,1490,606627.59847255,63.94
2025T1,RJ,sexo,feminino,1381,694330.05253043,41.66
2025T1,RJ,sexo,masculino,1939,972323.62226765,58.34
2025T1,RN,sexo,feminino,266,93762.59427125,30.27
2025T1,RN,sexo,masculino,619,215957.99951059,69.73
2025T1,RO,sexo,feminino,305,64601.60488835,28.98
2025T1,RO,sexo,masculino,769,158305.53572965,71.02
2025T1,RR,sexo,feminino,146,15849.4989413,28.83
2025T1,RR,sexo,masculino,388,39118.75781121,71.17
2025T1,RS,sexo,feminino,908,371821.20404764,38.19
2025T1,RS,sexo,masculino,1585,601854.23013278,61.81
2025T1,SC,sexo,feminino,1055,257690.60088414,41.1
2025T1,SC,sexo,masculino,1546,369232.17686153,58.9
2025T1,SE,sexo,feminino,282,76733.75841711,37.27
