periodo,uf,n_amostral,renda_mensal_media_brl,soma_pesos,renda_mensal_mediana_brl
2025T1,AC,677,1367.2144372222108,63642.41025198,1400.0
2025T1,AL,1452,1232.1323132256691,250445.19333782,1200.0
2025T1,AM,1841,1162.1944775428553,508245.53104925,1000.0
2025T1,AP,478,1477.1027440772227,87659.66794478,1500.0
2025T1,BA,2458,1165.003427163586,1546021.6460415,1000.0
2025T1,CE,2153,1120.566666685867,902126.28151645,1000.0
2025T1,DF,589,1709.7638540492453,194030.95679484,1800.0
2025T1,ES,1573,1796.5919380792127,364342.37938912,1800.0
2025T1,GO,1376,1836.5383772347996,601080.38857917,2000.0
2025T1,MA,3547,1048.8805039082001,779073.17351848,800.0
2025T1,MG,3454,1684.3659350845937,1981411.63496282,1518.0
2025T1,MS,778,1770.8618877900353,195667.33588274,1800.0
2025T1,MT,1165,1912.5665782697438,317294.70556087,2000.0
2025T1,PA,2121,1106.077356565892,1005139.27889605,900.0
2025T1,PB,1184,1065.743503944957,371541.70429406,800.0
2025T1,PE,1582,1197.4186304021657,818743.67106811,1000.0
2025T1,PI,1085,1061.876036225568,336761.60112326,800.0
2025T1,PR,2313,1855.9715847687394,948677.56339936,2000.0
2025T1,RJ,3320,1657.5527352991237,1666653.67479808,1518.0
2025T1,RN,885,1218.3594497305833,309720.59378184,1000.0
2025T1,RO,1074,1665.268480315067,222907.140618,1518.0
2025T1,RR,534,1443.5421746043705,54968.25675251,1500.0
2025T1,RS,2493,1803.2271394884958,973675.43418042,1800.0
2025T1,SC,2601,2063.3128441763647,626922.77774567,2000.0
2025T1,SE,801,1196.4824267724405,205867.70617762,1000.0
2025T1,SP,3388,1809.2961218561709,3948030.04845124,1800.0
2025T1,TO,670,1529.2561563803379,125217.76069471,1518.0
2025T2,AC,683,1339.7254273189506,60932.31846425,1200.0
2025T2,AL,1569,1233.851278326632,263279.63185759,1000.0
2025T2,AM,1896,1228.5711248440857,511467.24283258,1000.0
2025T2,AP,483,1475.7816838441172,86758.55511208,1500.0
2025T2,BA,2549,1123.0594231639093,1595415.48755331,1000.0
2025T2,CE,2240,1183.9315117719311,920342.33126655,1000.0
2025T2,DF,564,1768.9930140269894,188160.97023081,1800.0
2025T2,ES,1618,1800.9200952782635,367757.02873456,1600.0
2025T2,GO,1411,1883.7035430974747,622293.67517465,2000.0
2025T2,MA,3548,1104.0707129069533,775328.62705842,1000.0
2025T2,MG,3582,1682.8530932772828,2009494.7694824,1520.0
2025T2,MS,760,1827.4499890526213,200652.5056023,2000.0
2025T2,MT,1145,1919.6974498181446,302515.89963532,2000.0
2025T2,PA,2230,1093.040216581803,1000516.51689372,900.0
2025T2,PB,1084,1127.0332231846978,346278.65554997,1000.0
2025T2,PE,1526,1268.4173623419406,806216.83270085,1200.0
2025T2,PI,1115,1056.6133620464684,340726.0843794,900.0
2025T2,PR,2388,1864.6948268457836,992135.17010838,2000.0
2025T2,RJ,3301,1651.0048795238188,1685040.14316767,1518.0
2025T2,RN,891,1269.078265917496,326414.74685576,1200.0
2025T2,RO,1045,1722.1311136433424,219681.44055654,1588.0
2025T2,RR,582,1465.2878739602268,60309.01752648,1500.0
2025T2,RS,2397,1838.103134101223,919936.77446082,2000.0
2025T2,SC,2548,2105.107093960661,619135.18331739,2000.0
2025T2,SE,813,1241.3615625858504,201623.45530713,1000.0
2025T2,SP,3347,1842.418266711904,3907209.01072489,2000.0
2025T2,TO,658,1569.5570735071149,123344.90516118,1518.0
2025T3,AC,687,1349.0800375392453,55470.06610389,1250.0
2025T3,AL,1625,1196.5683854865467,274510.5758334,1000.0
2025T3,AM,1923,1201.5600844222795,500805.4992039,1000.0
2025T3,AP,570,1492.6023202490317,90340.44399171,1518.0
2025T3,BA,2729,1144.59128884513,1667436.77960217,1000.0
2025T3,CE,2425,1170.8834223731737,978899.90981757,1000.0
2025T3,DF,505,1828.9067509637532,166304.92314689,2000.0
2025T3,ES,1653,1775.6416135290365,358262.69736256,1700.0
2025T3,GO,1357,1853.3053445817197,596395.71000863,2000.0
2025T3,MA,3931,1072.3670758528333,830259.16811652,800.0
2025T3,MG,3619,1704.2820447824524,1989972.64434622,1600.0
2025T3,MS,884,1852.100239916865,214299.93271737,2000.0
2025T3,MT,1228,1836.5407631106677,285478.32959006,1800.0
2025T3,PA,2349,1167.100265908357,1030889.05672741,1000.0
2025T3,PB,1216,1194.2455626125027,345547.92155079,1000.0
2025T3,PE,1590,1267.8494570950745,824131.13433405,1000.0
2025T3,PI,1216,1051.3290220931226,359590.50281677,800.0
2025T3,PR,2509,1883.722066184889,978276.68778477,2000.0
2025T3,RJ,3354,1669.946322259523,1709652.0731187,1518.0
2025T3,RN,986,1196.1584068512516,339376.24299351,1000.0
2025T3,RO,804,1836.7151751477734,147519.15010453,2000.0
2025T3,RR,550,1541.3647905741025,55555.04786213,1518.0
2025T3,RS,2497,1854.9257814382497,946981.09684502,2000.0
2025T3,SC,2581,2118.531672782524,611532.66551151,2000.0
2025T3,SE,747,1245.1815675889088,188952.3375444,1000.0
2025T3,SP,3346,1837.0165665602246,3748964.7494215798,2000.0
2025T3,TO,733,1550.2378528614838,138636.8861288,1518.0
2025T4,AC,625,1345.3228166992064,54701.75573722,1500.0
2025T4,AL,1556,1248.253130781431,262091.84346132,1100.0
2025T4,AM,1841,1239.259492924874,475038.61562772,1000.0
2025T4,AP,629,1441.950427671283,88915.12348349,1500.0
2025T4,BA,2779,1178.5426062092472,1681547.86543218,1000.0
2025T4,CE,2387,1167.6787508648968,941424.85875105,1000.0
2025T4,DF,500,1821.1463158108916,168579.33371656,2000.0
2025T4,ES,1561,1840.5532391790216,337749.77752857,2000.0
2025T4,GO,1394,1837.506685547214,597472.1503323,2000.0
2025T4,MA,3997,1105.852922918406,852921.88036841,900.0
2025T4,MG,3577,1718.7302957474005,1919552.71537848,1600.0
2025T4,MS,970,1847.6151268430683,218628.45908103,2000.0
2025T4,MT,1302,1873.1178914530726,290977.69076985,2000.0
2025T4,PA,2411,1181.3411627065732,1033310.29250189,1000.0
2025T4,PB,1236,1199.305497622466,332474.30917569,1000.0
2025T4,PE,1579,1276.4651060308852,807988.89147898,1200.0
2025T4,PI,1187,1110.3163579476122,331303.96415873,800.0
2025T4,PR,2454,1861.5681093497271,919811.59836235,2000.0
2025T4,RJ,3400,1634.5937842400826,1693864.47573902,1518.0
2025T4,RN,988,1201.3452065413453,331437.64594833,1000.0
2025T4,RO,951,1740.8389593089814,162873.18199795,1600.0
2025T4,RR,549,1574.3454823077832,56309.75912159,1518.0
2025T4,RS,2480,1878.2444129892501,916217.8858198801,2000.0
2025T4,SC,2580,2133.6187449794934,607703.49404036,2000.0
2025T4,SE,791,1218.0510792010462,192983.48577666,1000.0
2025T4,SP,3307,1837.4669534125105,3751191.38734022,2000.0
2025T4,TO,703,1565.879530551348,128659.88676759,1518.0
