periodo,uf,n_amostral,total_expandido,total_nano_uf_expandido,share_no_nano_uf_pct
2025T1,SP,205,290199.21377127,3948030.04845124,7.35
2025T1,MG,180,140036.36646115,1981411.63496282,7.07
2025T1,RJ,217,123420.90322668,1666653.67479808,7.41
2025T1,BA,81,66473.08423777,1546021.6460415,4.3
2025T1,RS,97,53885.26753424,973675.43418042,5.53
2025T1,PR,91,51228.28914219,948677.56339936,5.4
2025T1,PA,83,49612.79885754,1005139.27889605,4.94
2025T1,PE,72,47673.68780271,818743.67106811,5.82
2025T1,CE,83,41547.44039034,902126.28151645,4.61
2025T1,MA,124,37484.44632997,779073.17351848,4.81
2025T1,SC,114,35252.02686477,626922.77774567,5.62
2025T1,GO,64,34724.48815334,601080.38857917,5.78
2025T1,ES,106,31383.93995322,364342.37938912,8.61
2025T1,MT,64,25392.95787229,317294.70556087,8.0
2025T1,AM,65,23299.791260859998,508245.53104925,4.58
2025T1,PB,56,20470.55736055,371541.70429406,5.51
2025T1,PI,41,15338.88399261,336761.60112326,4.55
2025T1,RN,43,14861.10531712,309720.59378184,4.8
2025T1,DF,45,13355.20349786,194030.95679484,6.88
2025T1,SE,41,13075.60510379,205867.70617762,6.35
2025T1,AL,67,12671.82292195,250445.19333782,5.06
2025T1,MS,33,11212.49470568,195667.33588274,5.73
2025T1,RO,29,7508.84614258,222907.140618,3.37
2025T1,TO,31,7263.9231403,125217.76069471,5.8
2025T1,AP,27,4918.83686993,87659.66794478,5.61
2025T1,AC,33,3351.09106724,63642.41025198,5.27
2025T1,RR,12,1401.3398281099999,54968.25675251,2.55
2025T2,SP,192,267125.77296559,3907209.01072489,6.84
2025T2,RJ,221,143404.04849051,1685040.14316767,8.51
2025T2,MG,178,128414.61287143,2009494.7694824,6.39
2025T2,BA,87,70140.27361987,1595415.48755331,4.4
2025T2,PR,98,55555.44849555,992135.17010838,5.6
2025T2,PE,81,52938.25416291,806216.83270085,6.57
2025T2,GO,81,47603.19455303,622293.67517465,7.65
2025T2,PA,76,45443.86548228,1000516.51689372,4.54
2025T2,CE,89,38687.43020989,920342.33126655,4.2
2025T2,SC,110,36044.06891277,619135.18331739,5.82
2025T2,RS,69,35911.33710043,919936.77446082,3.9
2025T2,MA,130,34004.94286267,775328.62705842,4.39
2025T2,ES,93,25946.60030203,367757.02873456,7.06
2025T2,PB,61,22436.59264023,346278.65554997,6.48
2025T2,MT,61,22206.7451213,302515.89963532,7.34
2025T2,AM,55,19201.8871129,511467.24283258,3.75
2025T2,RN,47,18092.38385047,326414.74685576,5.54
2025T2,PI,38,14318.13817146,340726.0843794,4.2
2025T2,MS,43,14208.22239615,200652.5056023,7.08
2025T2,AL,73,14048.89315547,263279.63185759,5.34
2025T2,DF,38,12538.82443861,188160.97023081,6.66
2025T2,SE,42,12456.474523589999,201623.45530713,6.18
2025T2,RO,41,11638.84694818,219681.44055654,5.3
2025T2,TO,33,7940.77593174,123344.90516118,6.44
2025T2,AP,29,5569.39282437,86758.55511208,6.42
2025T2,AC,32,2955.9026482,60932.31846425,4.85
2025T2,RR,11,1719.63195624,60309.01752648,2.85
2025T3,SP,197,261689.53202794,3748964.7494215798,6.98
2025T3,MG,205,145329.01339917,1989972.64434622,7.3
2025T3,RJ,230,122516.82923464,1709652.0731187,7.17
2025T3,BA,104,77412.51874279,1667436.77960217,4.64
2025T3,PR,117,57085.50368298,978276.68778477,5.84
2025T3,PE,70,45004.53422588,824131.13433405,5.46
2025T3,RS,77,42779.03083188,946981.09684502,4.52
2025T3,PA,77,42078.47994842,1030889.05672741,4.08
2025T3,CE,97,41113.46903867,978899.90981757,4.2
2025T3,GO,72,37449.60199823,596395.71000863,6.28
2025T3,MA,134,33776.32287216,830259.16811652,4.07
2025T3,SC,115,33237.61393752,611532.66551151,5.44
2025T3,ES,100,28077.96280986,358262.69736256,7.84
2025T3,AM,55,19674.1599853,500805.4992039,3.93
2025T3,MS,55,17673.77976788,214299.93271737,8.25
2025T3,RN,45,15885.92632855,339376.24299351,4.68
2025T3,PI,48,15640.81442964,359590.50281677,4.35
2025T3,PB,46,14344.78942847,345547.92155079,4.15
2025T3,SE,50,13836.07797942,188952.3375444,7.32
2025T3,MT,42,13700.52715681,285478.32959006,4.8
2025T3,AL,66,13201.93498339,274510.5758334,4.81
2025T3,DF,31,11275.39063362,166304.92314689,6.78
2025T3,TO,38,8628.06774582,138636.8861288,6.22
2025T3,RO,25,5945.28153521,147519.15010453,4.03
2025T3,AP,28,5634.6369533,90340.44399171,6.24
2025T3,AC,34,3639.34918428,55470.06610389,6.56
2025T3,RR,16,2573.87432518,55555.04786213,4.63
2025T4,SP,182,246751.49192036,3751191.38734022,6.58
2025T4,MG,228,147973.00012882,1919552.71537848,7.71
2025T4,RJ,243,124072.14110047,1693864.47573902,7.32
2025T4,BA,106,76685.32145335,1681547.86543218,4.56
2025T4,PE,91,54766.563439749996,807988.89147898,6.78
2025T4,RS,91,50352.842585570004,916217.8858198801,5.5
2025T4,CE,105,47795.69424258,941424.85875105,5.08
2025T4,PR,101,44680.82376924,919811.59836235,4.86
2025T4,GO,89,43733.58648699,597472.1503323,7.32
2025T4,PA,77,38572.69180359,1033310.29250189,3.73
2025T4,MA,144,36571.185285,852921.88036841,4.29
2025T4,SC,120,32943.951260840004,607703.49404036,5.42
2025T4,ES,96,25331.86770704,337749.77752857,7.5
2025T4,AM,58,20231.01300626,475038.61562772,4.26
2025T4,PB,58,19229.0221306,332474.30917569,5.78
2025T4,MS,61,18419.69357656,218628.45908103,8.43
2025T4,AL,86,16037.34585963,262091.84346132,6.12
2025T4,RN,53,15337.58587557,331437.64594833,4.63
2025T4,DF,45,15298.34050757,168579.33371656,9.07
2025T4,MT,49,14035.38652397,290977.69076985,4.82
2025T4,PI,48,13702.4517473,331303.96415873,4.14
2025T4,SE,42,10391.532215879999,192983.48577666,5.38
2025T4,TO,36,8606.16768094,128659.88676759,6.69
2025T4,RO,29,8096.26385881,162873.18199795,4.97
2025T4,AP,26,4505.03010761,88915.12348349,5.07
2025T4,AC,26,3200.31487312,54701.75573722,5.85
2025T4,RR,13,1747.03986137,56309.75912159,3.1
