periodo,uf,cnae_secao,n_amostral,total_expandido,share_pct
2025T1,AC,A,178,12687.73758235,19.94
2025T1,AC,B,2,106.52430794,0.17
2025T1,AC,C,91,8306.36882421,13.05
2025T1,AC,E,1,98.5488823,0.15
2025T1,AC,F,59,6231.55371584,9.79
2025T1,AC,G,10,1013.25138313,1.59
2025T1,AC,H,47,5354.39818445,8.41
2025T1,AC,I,48,5030.67876504,7.9
2025T1,AC,J,3,461.7648831,0.73
2025T1,AC,K,1,141.44773646,0.22
2025T1,AC,L,2,182.80656446,0.29
2025T1,AC,M,15,1393.28014198,2.19
2025T1,AC,N,33,3328.37820919,5.23
2025T1,AC,P,5,456.24506895,0.72
2025T1,AC,Q,3,297.85166709,0.47
2025T1,AC,R,7,553.0966094,0.87
2025T1,AC,S,69,7292.56186911,11.46
2025T1,AC,,103,10705.91585698,16.82
2025T1,AL,A,286,32557.51885395,13.0
2025T1,AL,B,5,764.80009347,0.31
2025T1,AL,C,100,16939.33117515,6.76
2025T1,AL,F,224,40351.00458713,16.11
2025T1,AL,G,38,7273.1430128599995,2.9
2025T1,AL,H,156,30960.39149984,12.36
2025T1,AL,I,101,16818.51751391,6.72
2025T1,AL,J,5,1014.1156306500001,0.4
2025T1,AL,K,1,218.50206375,0.09
2025T1,AL,L,10,2079.13384257,0.83
2025T1,AL,M,32,6641.15021839,2.65
2025T1,AL,N,27,4865.75347063,1.94
2025T1,AL,P,10,1680.03391684,0.67
2025T1,AL,Q,14,3250.88573433,1.3
2025T1,AL,R,13,2555.26239938,1.02
2025T1,AL,S,152,30339.31851403,12.11
2025T1,AL,,278,52136.33081094,20.82
2025T1,AM,A,767,131524.44856273,25.88
2025T1,AM,C,115,34647.30208087,6.82
2025T1,AM,E,7,3256.15318665,0.64
2025T1,AM,F,150,53103.94322075,10.45
2025T1,AM,G,32,11219.90762728,2.21
2025T1,AM,H,148,57707.10408697,11.35
2025T1,AM,I,100,35033.81991985,6.89
2025T1,AM,J,5,2130.19893131,0.42
2025T1,AM,K,1,356.24986872,0.07
2025T1,AM,L,2,925.8335463599999,0.18
2025T1,AM,M,15,5183.13605187,1.02
2025T1,AM,N,36,11204.62488682,2.2
2025T1,AM,P,6,2454.83199392,0.48
2025T1,AM,Q,16,6464.45644647,1.27
2025T1,AM,R,19,7593.33843149,1.49
2025T1,AM,S,140,49431.72931652,9.73
2025T1,AM,,282,96008.45289067,18.89
2025T1,AP,A,93,15346.26537114,17.51
2025T1,AP,B,1,297.14100852,0.34
2025T1,AP,C,39,6836.52890617,7.8
2025T1,AP,F,86,17527.84169522,20.0
2025T1,AP,G,13,2277.55569386,2.6
2025T1,AP,H,53,9868.42772194,11.26
2025T1,AP,I,24,3912.01079205,4.46
2025T1,AP,L,4,905.4237093300001,1.03
2025T1,AP,M,13,2128.52311952,2.43
2025T1,AP,N,7,954.8233828799999,1.09
2025T1,AP,P,1,97.17347254,0.11
2025T1,AP,Q,4,1439.55653104,1.64
2025T1,AP,R,1,348.16414134,0.4
2025T1,AP,S,63,10793.1697957,12.31
2025T1,AP,,76,14927.06260353,17.03
2025T1,BA,A,901,369418.26379824,23.89
2025T1,BA,B,13,6884.9666439,0.45
2025T1,BA,C,178,123677.75619401,8.0
2025T1,BA,E,1,1275.01469461,0.08
2025T1,BA,F,257,185698.35885638,12.01
2025T1,BA,G,66,44928.28147453,2.91
2025T1,BA,H,152,130468.18838837,8.44
2025T1,BA,I,206,138126.36357556,8.93
2025T1,BA,J,2,1605.85737551,0.1
2025T1,BA,L,6,7124.68371793,0.46
2025T1,BA,M,47,39004.3795747,2.52
2025T1,BA,N,31,28151.148696879998,1.82
2025T1,BA,P,26,18083.54946961,1.17
2025T1,BA,Q,16,13883.87758145,0.9
2025T1,BA,R,15,11577.401508160001,0.75
2025T1,BA,S,191,157547.12407134,10.19
2025T1,BA,,350,268566.43042032,17.37
2025T1,CE,A,474,135033.77319042,14.97
2025T1,CE,B,1,226.23100513,0.03
2025T1,CE,C,277,130366.98548768,14.45
2025T1,CE,E,1,498.166705,0.06
2025T1,CE,F,254,118881.51777878,13.18
2025T1,CE,G,78,35615.09288029,3.95
2025T1,CE,H,136,65169.19888602,7.22
2025T1,CE,I,147,64279.16475042,7.13
2025T1,CE,J,4,1484.96623899,0.16
2025T1,CE,K,2,656.4673661,0.07
2025T1,CE,L,4,1531.55299768,0.17
2025T1,CE,M,41,19532.54486595,2.17
2025T1,CE,N,29,11739.62719192,1.3
2025T1,CE,P,26,11547.004486759999,1.28
2025T1,CE,Q,14,5755.2417245,0.64
2025T1,CE,R,31,15548.72131021,1.72
2025T1,CE,S,187,91924.74123063,10.19
2025T1,CE,,447,192335.28341997,21.32
2025T1,DF,A,26,4586.74849448,2.36
2025T1,DF,C,45,15445.89076978,7.96
2025T1,DF,F,94,30266.12411067,15.6
2025T1,DF,G,23,7716.8692331600005,3.98
2025T1,DF,H,63,22498.23765326,11.6
2025T1,DF,I,50,15186.58898298,7.83
2025T1,DF,J,6,2124.21096124,1.09
2025T1,DF,K,5,1408.82180418,0.73
2025T1,DF,L,3,1248.15851315,0.64
2025T1,DF,M,28,10901.25962919,5.62
2025T1,DF,N,15,5214.55488112,2.69
2025T1,DF,P,10,3573.40362469,1.84
2025T1,DF,Q,18,6862.28757442,3.54
2025T1,DF,R,6,2255.75933596,1.16
2025T1,DF,S,102,32430.29306466,16.71
2025T1,DF,,95,32311.7481619,16.65
2025T1,ES,A,509,86056.75551835,23.62
2025T1,ES,C,112,29309.41505803,8.04
2025T1,ES,F,187,50195.54646364,13.78
2025T1,ES,G,42,10807.06483781,2.97
2025T1,ES,H,77,20592.61378209,5.65
2025T1,ES,I,130,30821.59270872,8.46
2025T1,ES,J,11,3648.70796736,1.0
2025T1,ES,K,2,479.81917735,0.13
2025T1,ES,L,7,2223.86801433,0.61
2025T1,ES,M,63,15805.08794868,4.34
2025T1,ES,N,17,4216.0930507,1.16
2025T1,ES,P,10,2338.85917419,0.64
2025T1,ES,Q,17,4409.7964959500005,1.21
2025T1,ES,R,16,4194.01702577,1.15
2025T1,ES,S,185,53372.08271841,14.65
2025T1,ES,,188,45871.05944774,12.59
2025T1,GO,A,250,46458.42383372,7.73
2025T1,GO,B,1,872.47141017,0.15
2025T1,GO,C,173,73818.58591868001,12.28
2025T1,GO,E,1,838.91718892,0.14
2025T1,GO,F,209,111889.21715786999,18.61
2025T1,GO,G,46,20209.4756406,3.36
2025T1,GO,H,113,55978.74777874,9.31
2025T1,GO,I,90,44472.42279879,7.4
2025T1,GO,J,7,5522.377477059999,0.92
2025T1,GO,K,2,1068.1678175900001,0.18
2025T1,GO,L,9,4858.95530357,0.81
2025T1,GO,M,52,23076.195556310002,3.84
2025T1,GO,N,27,14088.7146183,2.34
2025T1,GO,P,9,3528.4825842299997,0.59
2025T1,GO,Q,21,10926.02402381,1.82
2025T1,GO,R,14,7520.7257308200005,1.25
2025T1,GO,S,144,75192.41284146,12.51
2025T1,GO,,208,100760.07089853,16.76
2025T1,MA,A,1331,187776.16011654,24.1
2025T1,MA,B,8,2713.84453528,0.35
2025T1,MA,C,174,45028.0936504,5.78
2025T1,MA,E,3,742.68999803,0.1
2025T1,MA,F,425,123218.09207462,15.82
2025T1,MA,G,83,22958.89212915,2.95
2025T1,MA,H,218,59182.7091761,7.6
2025T1,MA,I,222,50966.93667426,6.54
2025T1,MA,J,5,1612.28032286,0.21
2025T1,MA,K,5,1460.77288588,0.19
2025T1,MA,L,2,385.92797476,0.05
2025T1,MA,M,38,12222.7421698,1.57
2025T1,MA,N,64,15144.38335252,1.94
2025T1,MA,P,24,7127.54162962,0.91
2025T1,MA,Q,14,5838.03017968,0.75
2025T1,MA,R,32,9042.43575472,1.16
2025T1,MA,S,266,76403.71001987,9.81
2025T1,MA,,633,157247.93087439,20.18
2025T1,MG,A,1024,337415.83576937,17.03
2025T1,MG,B,5,4156.8529778600005,0.21
2025T1,MG,C,329,188712.58615442,9.52
2025T1,MG,F,504,333059.62152965,16.81
2025T1,MG,G,113,84501.13424648,4.26
2025T1,MG,H,270,197173.70541936,9.95
2025T1,MG,I,212,133671.4419649,6.75
2025T1,MG,J,12,8953.32889767,0.45
2025T1,MG,K,7,3997.51899519,0.2
2025T1,MG,L,3,1661.0138044700002,0.08
2025T1,MG,M,102,74853.4863874,3.78
2025T1,MG,N,51,28788.7957627,1.45
2025T1,MG,P,30,20190.45376747,1.02
2025T1,MG,Q,41,28036.65755661,1.41
2025T1,MG,R,33,20355.87332157,1.03
2025T1,MG,S,371,287639.43966663,14.52
2025T1,MG,,347,228243.88874107,11.52
2025T1,MS,A,160,20437.83734254,10.45
2025T1,MS,C,87,19486.08543902,9.96
2025T1,MS,E,2,687.23572476,0.35
2025T1,MS,F,124,36298.85378979,18.55
2025T1,MS,G,28,8909.54194412,4.55
2025T1,MS,H,63,18503.92744351,9.46
